PID,LEGAL_TYPE,FOLIO,LAND_COORDINATE,ZONING_DISTRICT,ZONING_CLASSIFICATION,LOT,PLAN,BLOCK,DISTRICT_LOT,FROM_CIVIC_NUMBER,TO_CIVIC_NUMBER,STREET_NAME,PROPERTY_POSTAL_CODE,NARRATIVE_LEGAL_LINE1,NARRATIVE_LEGAL_LINE2,NARRATIVE_LEGAL_LINE3,NARRATIVE_LEGAL_LINE4,NARRATIVE_LEGAL_LINE5,CURRENT_LAND_VALUE,CURRENT_IMPROVEMENT_VALUE,TAX_ASSESSMENT_YEAR,PREVIOUS_LAND_VALUE,PREVIOUS_IMPROVEMENT_VALUE,YEAR_BUILT,BIG_IMPROVEMENT_YEAR,TAX_LEVY,NEIGHBOURHOOD_CODE,REPORT_YEAR
004-302-371,STRATA,607116080009,60711608,RM-5,Multiple Dwelling,9,VAS1181,,185,201,1080.0,BROUGHTON ST,V6G 2A8,LOT 9  PLAN VAS1181  DISTRICT LOT 1,85  NEW WESTMINSTER UNDIV 560/46471,SHARE IN COM PROP THEREIN.,,,434000.0,68800.0,2021.0,401000.0,70900.0,1982.0,1982.0,1469.44,27,2021
017-845-921,STRATA,742081880018,74208188,CD-1 (267),Comprehensive Development,18,LMS450,,526,503,2108.0,38TH AVE W,V6M 1R9,LOT 18  PLAN LMS450  DISTRICT LOT 5,26  NEW WESTMINSTER UNDIV 1138/5920,6 SHARE IN COM PROP THEREIN.,,,463000.0,391000.0,2022.0,443000.0,374000.0,1992.0,1992.0,2299.76,5,2022
015-539-199,LAND,190648950000,19064895,C-3A,Commercial,10,VAP197,51,200A,,175.0,BROADWAY E,V5T 1W2,LOT 10  BLOCK 51  PLAN VAP197  DIST,RICT LOT 200A  NWD  GROUP 1  EXC S,10 FT NOW RD & LOT 9  BLOCK 51  PLA,N VAP197  DISTRICT LOT 200A  NWD  G,ROUP 1  EXC N 24 FT,8658000.0,12788000.0,2021.0,9179000.0,13064000.0,1912.0,1984.0,100588.0,13,2021
013-179-608,LAND,236793540000,23679354,RS-1,One-Family Dwelling,9,VAP3085,5,737,,6808.0,FLEMING ST,V5P 3H5,LOT 9  BLOCK 5  PLAN VAP3085  DISTR,ICT LOT 737  NWD AMD (SEE 194750L).,,,,1668000.0,412000.0,2022.0,1454000.0,385000.0,2005.0,2005.0,7414.29,17,2022
028-069-633,STRATA,580186800054,58018680,HA-2,Historical Area,54,BCS3636,,196,615,168.0,POWELL ST,V6A 0B2,LOT 54  PLAN BCS3636  DISTRICT LOT,196  NWD TOGETHER WITH AN INTEREST,IN THE COMMON PROPERTY IN PROPORTIO,N TO THE UNIT ENTITLEMENT OF THE ST,RATA LOT AS SHOWN ON FORM V.,327000.0,96600.0,2022.0,342000.0,101000.0,2009.0,2009.0,1140.72,26,2022
004-907-990,LAND,285602570000,28560257,RS-1,One-Family Dwelling,F,VAP7733,1,THSL,,1161.0,LE ROI ST,V5K 4G3,LOT F  BLOCK 1  SECTION 24  PLAN VA,P7733  DISTRICT LOT THSL  NWD PART,SE 1/4.,,,1619000.0,239000.0,2022.0,1387000.0,208000.0,1988.0,1988.0,6816.46,20,2022
023-718-421,STRATA,640050470014,64005047,RM-4,Multiple Dwelling,14,LMS2744,,540,211,3235.0,4TH AVE W,V6K 1R8,LOT 14  PLAN LMS2744  DISTRICT LOT,540  NEW WESTMINSTER UNDIV 59/2752,SHARE IN COM PROP THEREIN.,,,569000.0,112000.0,2023.0,527000.0,119000.0,1997.0,1997.0,,2,2023
010-203-320,LAND,691308830000,69130883,RS-1,One-Family Dwelling,40,VAP8268,9,,,3571.0,WORTHINGTON DR,V5M 3Y1,LOT 40  BLOCK 9  PLAN VAP8268  NEW,WESTMINSTER DISTRICT LOT SEC 40&41.,,,,1517000.0,640000.0,2020.0,1660000.0,619000.0,1997.0,1997.0,8104.69,22,2020
014-826-925,LAND,221730490000,22173049,RS-1,One-Family Dwelling,31,VAP1369,13,,,5023.0,ROSS ST,V5W 3K6,LOT 31  BLOCK 13  PLAN VAP1369  NEW,WESTMINSTER DISTRICT LOT 668 TO 67,0.,,,1046000.0,40100.0,2020.0,1237000.0,41100.0,1910.0,1970.0,5256.58,19,2020
004-456-203,LAND,95627380000,9562738,RT-9,Two-Family Dwelling,7,VAP2301,176,526,,1342.0,MAPLE ST,V6J 3R9,LOT 7  BLOCK 176  PLAN VAP2301  DIS,TRICT LOT 526  NEW WESTMINSTER,,,,2438000.0,126000.0,2020.0,2725000.0,134000.0,1913.0,1971.0,9139.44,2,2020
